"","precision","sensitivity","fmeasure","NPV","specificity","X6","X7","fp_errors","fn_errors","pr_errors"
"1",0.79020979020979,0.617486338797814,0.693251533742331,0.993957703927492,0.986013986013986,0.837662337662338,0.704918032786885,0.0134969925179715,0.0133746035385380,0.0268715960565096
"2",0.765578635014837,0.99496475327291,0.989187024429315,0.669491525423729,0.431693989071038,0.524916943521595,0.99214501510574,0.548435171385991,0.000176057577870268,0.548611228963861
"3",0.979324055666004,0.743362831858407,0.459016393442623,0.567567567567568,0.994159113796576,0.98033763654419,0.811188811188811,0.00563665941309443,0.00897332755739835,0.0146099869704929
"4",0.633879781420765,0.711656441717792,0.994561933534743,0.986613386613387,0.648648648648649,0.131147540983607,0.218181818181818,0.339066339066339,0.0100819425972800,0.349148281663619
"5",0.997381671701913,0.968890628057132,0.75,0.0655737704918033,0.120603015075377,0.999194360523666,0.96667965705378,0.848648838598587,0.00108774027772267,0.84973657887631
"6",0.833333333333333,0.765027322404372,0.797720797720798,0.99436052366566,0.99136546184739,0.5,0.0109289617486339,0.00833263122419744,0.00821582788795904,0.0165484591121565
"7",0.0213903743315508,0.999597180261833,0.964813374805599,0.880597014925373,0.644808743169399,0.744479495268139,0.996777442094663,0.342771982116244,1.40846062296202e-05,0.342786066722474
"8",0.98703629836458,0.782945736434108,0.551912568306011,0.647435897435897,0.99436052366566,0.983662084080494,0.6875,0.00544229184712567,0.00758930991489131,0.013031601762017
"9",0.0601092896174863,0.110552763819095,0.998992950654582,0.966484801247077,0.710526315789474,0.59016393442623,0.644776119402985,0.279352226720648,0.0310995537126190,0.310451780433267
"10",0.991137965760322,0.984987990392314,0.876623376623377,0.737704918032787,0.801186943620178,0.996173212487412,0.99038846615939,0.191861550911996,0.000524895440828186,0.192386446352824
"11",1,0.087431693989071,0.160804020100502,1,0.967459080280592,0.732824427480916,0.524590163934426,0.0314031253236242,0.0319079827276549,0.0633111080512792
"12",0.611464968152866,0.992950654582075,0.982658959537572,0.853658536585366,0.765027322404372,0.806916426512968,0.995166163141994,0.226756849707669,0.000246480609018373,0.227003330316688
"13",0.99137239165329,0.820143884892086,0.622950819672131,0.708074534161491,0.99496475327291,0.986224795368337,0.625,0.00485918914921939,0.00628867535342355,0.0111478645026429
"14",0.0546448087431694,0.100502512562814,0.998791540785498,0.966289945440374,0.858974358974359,0.73224043715847,0.790560471976401,0.136094674556213,0.0314509610992023,0.167545635655415
"15",0.99556898288016,0.990184294871795,0.795918367346939,0.639344262295082,0.709090909090909,0.993957703927492,0.986802639472106,0.280737444373808,0.000343206473014167,0.281080650846822
"16",1,0.087431693989071,0.160804020100502,1,0.967459080280592,0.772058823529412,0.573770491803279,0.0314031253236242,0.0319079827276549,0.0633111080512792
"17",0.658307210031348,0.993756294058409,0.984437350359138,0.835443037974684,0.721311475409836,0.774193548387097,0.994763343403827,0.268944170583515,0.000218311396559132,0.269162481980074
"18",0.989779559118236,0.794701986754967,0.655737704918033,0.718562874251497,0.993756294058409,0.987392435461277,0.75,0.00602539454503205,0.0071782522113648,0.0132036467563968
"19",0.459016393442623,0.569491525423729,0.99436052366566,0.98034154090548,0.810650887573965,0.748633879781421,0.778409090909091,0.182728514089461,0.0150527438663032,0.197781257955764
"20",0.993554884189325,0.990761197027516,0.4,0.0109289617486339,0.0212765957446809,0.99939577039275,0.964806533151857,0.944502306204434,0.000323035068967989,0.944825341273402
"21",0.828571428571429,0.633879781420765,0.718266253869969,0.995166163141994,0.9866214057508,0.805555555555556,0.633879781420765,0.0129108112334950,0.0128014062440292,0.0257122174775242
"22",0.709480122324159,0.99436052366566,0.986610711430855,0.59504132231405,0.39344262295082,0.473684210526316,0.990130916414904,0.585349077152356,0.000197184487214698,0.58554626163957
"23",0.977919236124925,0.73049645390071,0.562841530054645,0.635802469135803,0.992346424974824,0.984022368683843,0.805755395683453,0.00738596750681347,0.0094232009125626,0.0168091684193761
"24",0.612021857923497,0.695652173913043,0.994561933534743,0.985825514074666,0.813664596273292,0.715846994535519,0.761627906976744,0.179820179820180,0.0106415323806628,0.190461712200843
"25",0.993957703927492,0.989572889512733,0.708333333333333,0.092896174863388,0.164251207729469,0.998590130916415,0.96760343481655,0.806526806526806,0.000364584282771568,0.806891390809578
"26",0.825757575757576,0.595628415300546,0.692063492063492,0.995367573011078,0.98524720893142,0.8,0.0218579234972678,0.0142369592130357,0.014138866597883,0.0283758258109187
"27",0.0425531914893617,0.999798590130916,0.965195411238577,0.782312925170068,0.628415300546448,0.696969696969697,0.993554884189325,0.358592227444686,7.04230311481009e-06,0.358599269747801
"28",0.986402719456109,0.7875,0.688524590163934,0.73469387755102,0.993152064451158,0.988572574178027,0.81294964028777,0.00660849724293833,0.00743006993006993,0.0140385671730083
"29",0.617486338797814,0.701863354037267,0.994763343403827,0.986025154721501,0.743589743589744,0.158469945355191,0.261261261261261,0.247444862829478,0.0104243582504452,0.257869221079923
"30",0.997985901309164,0.969857114895283,0.833333333333333,0.737704918032787,0.782608695652174,0.994561933534743,0.99037304452467,0.209790209790210,0.00105394703163347,0.210844156821843
"31",0.758620689655172,0.721311475409836,0.739495798319328,0.99154078549849,0.989746682750302,0.727891156462585,0.584699453551913,0.00989480965355516,0.0097443540066491,0.0196391636602042
"32",0.648484848484848,0.991943605236657,0.984803039392122,0.79020979020979,0.617486338797814,0.693251533742331,0.993957703927492,0.369139057663648,0.000281692124592427,0.36942074978824
